strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2021-01-08 12:00,2021-01-08 13:00,40697.1563,41311.18,30108052.946113,17227709879.73,1259346684.64,1.406,1,grid TP hit (41307.61)
grid,long,2021-01-08 14:00,2021-01-08 20:00,40832.3181,39059.15,33048419.883436,-59988058668.99,1387656428.7,-4.445,6,grid SL hit (39607.35)
grid,long,2021-01-08 21:00,2021-01-08 22:00,39474.6827,40674.45,37448159.163477,43386853741.08,1542223068.46,2.935,1,grid TP hit (40066.80)
grid,long,2021-01-08 23:00,2021-01-09 12:00,39974.0678,40874.99,40783201.92022,34804587379.46,1937902578.39,2.135,13,grid TP hit (40573.68)
grid,long,2021-01-09 13:00,2021-01-10 01:00,40435.8752,41141.56,44425165.357114,29248283011.79,2101878696.96,1.628,12,grid TP hit (41042.41)
grid,long,2021-01-10 02:00,2021-01-10 07:00,40331.1008,40978.57,49062699.524227,29630410089.77,2136176721.02,1.497,5,grid TP hit (40936.07)
grid,long,2021-01-10 08:00,2021-01-10 17:00,40186.3156,38571.86,54232220.061105,-89882683419.35,2327169329.65,-4.124,9,grid SL hit (38980.73)
ema,short,2021-01-10 18:00,2021-01-11 03:00,38109.68,35438.23,313322785.378953,824673394513.2,12352760487.41,6.906,9,TP hit (35553.68)
dca,long,2021-01-09 06:00,2021-01-12 11:00,38984.86,35410.99,62720789.056998,-228514669159.03,4358722771.9,-9.346,77,DCA SL hit (36255.92)
grid,long,2021-01-12 11:00,2021-01-12 13:00,34879.8251,33291.06,105030991.033874,-170453586074.56,3584007849.98,-4.653,2,grid SL hit (33833.43)
grid,long,2021-01-12 14:00,2021-01-12 16:00,32925.073,34998.9,128577595.143785,262035118578.58,4612576254.54,6.19,2,grid TP hit (33418.95)
grid,long,2021-01-12 17:00,2021-01-12 18:00,34487.342,35040.78,135775889.374955,70326365642.85,4817164232.25,1.502,1,grid TP hit (35004.65)
