strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-12-11 16:00,2025-12-11 17:00,4239.834,4309.0,1.542948,80.29,26.43,1.227,1,grid TP hit (4303.43)
grid,long,2025-12-15 03:00,2025-12-15 05:00,4294.5015,4377.5,1.524578,100.09,26.44,1.529,2,grid TP hit (4358.92)
grid,long,2025-12-15 06:00,2025-12-15 08:00,4310.4585,4380.4,1.520659,79.92,26.44,1.219,2,grid TP hit (4375.12)
grid,long,2025-12-15 09:00,2025-12-15 11:00,4310.4585,4376.6,1.521916,74.22,26.44,1.131,2,grid TP hit (4375.12)
ema,short,2025-12-16 10:00,2025-12-16 13:00,4305.1,4342.5,6.859224,-292.82,36.29,-0.992,3,SL hit (4325.43)
ema,long,2025-12-16 14:00,2025-12-16 16:00,4356.1,4332.0,6.741494,-198.51,36.04,-0.676,2,SL hit (4333.91)
grid,long,2025-12-15 12:00,2025-12-18 16:00,4314.2015,4394.6,1.521719,95.9,26.45,1.461,73,grid TP hit (4378.91)
grid,long,2025-12-18 17:00,2025-12-18 20:00,4299.6235,4365.9,1.515539,74.03,26.42,1.136,3,grid TP hit (4364.12)
grid,long,2025-12-18 21:00,2025-12-18 23:00,4298.4415,4366.5,1.517079,76.83,26.42,1.178,1,grid TP hit (4362.92)
grid,long,2025-12-19 00:00,2025-12-19 09:00,4290.7585,4358.6,1.520987,76.76,26.42,1.176,9,grid TP hit (4355.12)
grid,long,2025-12-19 10:00,2025-12-19 11:00,4292.63,4357.1,1.521512,71.67,26.42,1.097,1,grid TP hit (4357.02)
grid,long,2025-12-19 12:00,2025-12-19 13:00,4290.66,4360.0,1.523282,79.2,26.43,1.212,1,grid TP hit (4355.02)
grid,long,2025-12-19 14:00,2025-12-19 15:00,4297.949,4381.3,1.521942,100.41,26.44,1.535,1,grid TP hit (4362.42)
grid,long,2025-12-19 16:00,2025-12-19 17:00,4318.043,4386.0,1.516589,76.63,26.43,1.17,1,grid TP hit (4382.81)
grid,long,2025-12-19 18:00,2025-12-19 21:00,4314.3,4387.3,1.519085,84.45,26.44,1.289,3,grid TP hit (4379.01)
grid,long,2025-12-21 23:00,2025-12-22 00:00,4319.5205,4396.5,1.518608,90.46,26.44,1.379,1,grid TP hit (4384.31)
grid,long,2025-12-22 01:00,2025-12-22 02:00,4349.366,4417.6,1.509675,76.57,26.44,1.166,1,grid TP hit (4414.61)
grid,long,2025-12-22 03:00,2025-12-22 04:00,4358.7235,4431.1,1.507601,82.67,26.45,1.258,1,grid TP hit (4424.10)
grid,long,2025-12-22 05:00,2025-12-26 06:00,4366.9975,4541.5,1.506048,236.3,26.51,3.593,52,grid TP hit (4432.50)
grid,long,2025-12-26 07:00,2025-12-26 08:00,4472.491,4549.3,1.475232,86.85,26.46,1.316,1,grid TP hit (4539.58)
grid,long,2025-12-26 09:00,2025-12-26 10:00,4474.3625,4544.1,1.475981,76.47,26.46,1.158,1,grid TP hit (4541.48)
grid,long,2025-12-26 11:00,2025-12-26 12:00,4470.127,4539.0,1.478514,75.37,26.46,1.14,1,grid TP hit (4537.18)
grid,long,2025-12-26 13:00,2025-12-26 15:00,4488.9405,4580.1,1.473422,107.84,26.47,1.63,2,grid TP hit (4556.27)
ema,short,2025-12-29 12:00,2025-12-29 14:00,4484.5,4378.6,6.642331,667.43,35.99,2.241,2,TP hit (4414.05)
ema,long,2026-01-05 04:00,2026-01-06 14:00,4415.1,4498.3,6.818554,530.64,36.67,1.763,33,TP hit (4479.47)
ema,short,2026-01-08 07:00,2026-01-08 15:00,4438.6,4463.5,6.838464,-206.88,36.6,-0.682,8,SL hit (4462.11)
grid,long,2025-12-26 16:00,2026-01-12 00:00,4501.7455,4600.0,1.471055,118.06,26.48,1.783,208,grid TP hit (4569.27)
grid,long,2026-01-12 01:00,2026-01-12 02:00,4513.3685,4589.4,0.818456,37.03,25.2,1.002,1,grid TP hit (4581.07)
ema,long,2026-01-08 20:00,2026-01-12 03:00,4485.1,4582.6,6.740768,620.47,36.76,2.052,29,TP hit (4535.29)
