date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2024-02-19,NSE:ALPL30IETF,322,24.232,26.3926,8498.42,24.14,671.57,0.0892,8016.25
2024-02-20,NSE:CONSUMBEES,74,100.8,108.2616,8011.36,23.64,528.52,0.074,8026.82
2024-02-21,NSE:NEXT50IETF,136,56.7,60.4994,8227.92,23.86,492.86,0.067,8036.68
2024-02-22,NSE:TNIDETF,101,74.4,79.4804,8027.52,23.66,489.46,0.0683,8046.47
2024-02-23,NSE:MIDCAP,57,133.16,142.4174,8117.79,23.75,503.92,0.0695,8056.55
2024-02-26,NSE:MON100,57,135.74,144.6053,8242.5,23.88,481.44,0.0653,8066.18
2024-03-01,NSE:ICICIB22,81,95.72,102.4774,8300.67,23.94,523.41,0.0706,8076.64
2024-03-05,NSE:CPSEETF,100,78.72,84.5154,8451.54,24.1,555.44,0.0736,8087.75
2024-03-07,NSE:PSUBNKBEES,103,76.42,81.3386,8377.88,24.02,482.6,0.0644,8097.41
2024-03-27,NSE:MAFANG,98,80.81,86.1238,8440.13,24.08,496.67,0.0658,8107.34
2024-04-01,NSE:MAKEINDIA,67,116.86,124.835,8363.94,24.01,510.31,0.0682,8117.55
2024-04-03,NSE:MASPTOP50,209,38.14,41.0189,8572.95,24.22,577.47,0.0755,8129.09
2024-04-05,NSE:MAFANG,92,87.56,95.4245,8779.05,24.44,699.09,0.0898,8143.08
2024-04-08,NSE:NEXT50IETF,131,61.03,65.3446,8560.14,24.21,541.0,0.0707,8153.9
2024-04-09,NSE:MASPTOP50,193,42.07,46.5534,8984.81,24.65,840.65,0.1066,8170.71
2024-04-10,NSE:MOM100,154,50.02,53.6463,8261.53,23.9,534.55,0.0725,8181.4
2024-04-12,NSE:BSE500IETF,237,32.64,34.8251,8253.55,23.89,493.98,0.0669,8191.28
2024-04-29,NSE:BANKBEES,15,468.59,502.2772,7534.16,23.15,482.16,0.0719,8200.92
2024-04-30,NSE:ALPHA,173,45.29,48.5414,8397.66,24.04,538.45,0.0718,8211.69
2024-05-02,NSE:MOVALUE,84,93.81,101.7182,8544.33,24.19,640.1,0.0843,8224.49
2024-05-06,NSE:QUAL30IETF,418,18.12,20.4325,8540.78,24.19,942.43,0.1276,8243.34
2024-05-16,NSE:MAKEINDIA,64,126.47,134.9349,8635.83,24.29,517.46,0.0669,8253.69
2024-05-17,NSE:CONSUMBEES,74,108.41,116.2536,8602.77,24.25,556.18,0.0724,8264.82
2024-05-21,NSE:CPSEETF,96,83.97,92.5773,8887.42,24.55,801.75,0.1025,8280.85
2024-05-22,NSE:MOREALTY,87,93.59,101.7881,8855.56,24.51,688.73,0.0876,8294.62
2024-05-23,NSE:NEXT50IETF,125,65.22,71.2487,8906.09,24.57,729.02,0.0924,8309.21
2024-05-24,NSE:MIDSELIETF,530,15.075,16.1938,8582.71,24.23,568.73,0.0742,8320.58
2024-05-27,NSE:MONIFTY500,393,20.1,21.6783,8519.57,24.17,596.1,0.0785,8332.5
2024-05-28,NSE:MONQ50,114,58.86,63.2267,7207.84,22.81,474.99,0.0742,8342.0
2024-06-03,NSE:PSUBNKBEES,100,80.23,89.6203,8962.03,24.63,914.4,0.117,8360.29
2024-06-04,NSE:HDFCSENSEX,97,79.302,86.3236,8373.39,24.02,657.08,0.0885,8373.43
2024-06-05,NSE:FMCGIETF,134,56.689,60.3896,8092.21,23.72,472.16,0.0653,8382.87
2024-06-06,NSE:QUAL30IETF,434,18.968,20.1798,8758.03,24.41,501.51,0.0639,8392.9
2024-06-07,NSE:NV20IETF,594,13.08,14.1558,8408.55,24.05,614.98,0.0822,8405.2
2024-06-10,NSE:SMALLCAP,180,45.28,48.7612,8777.02,24.43,602.19,0.0769,8417.25
2024-06-11,NSE:HDFCSML250,51,152.82,164.865,8408.11,24.05,590.24,0.0788,8429.05
2024-06-12,NSE:MOM100,153,53.46,57.8621,8852.9,24.51,649.01,0.0823,8442.03
2024-06-13,NSE:MON100,55,145.19,158.7711,8732.41,24.39,722.57,0.0935,8456.48
2024-06-14,NSE:ALPHA,166,49.18,54.1558,8989.86,24.65,801.33,0.1012,8472.51
2024-06-18,NSE:MOREALTY,80,102.89,115.0848,9206.78,24.88,950.7,0.1185,8491.53
2024-06-19,NSE:BSE500IETF,238,34.32,37.3926,8899.44,24.56,706.72,0.0895,8505.66
2024-06-20,NSE:PVTBANIETF,304,23.457,25.8142,7847.52,23.47,693.12,0.1005,8519.52
2024-06-21,NSE:BFSI,353,21.56,23.4465,8276.61,23.91,642.02,0.0875,8532.36
2024-06-24,NSE:NIFTYBEES,31,240.16,261.3983,8103.35,23.74,634.65,0.0884,8545.06
2024-06-25,NSE:ALPL30IETF,303,26.371,28.4415,8617.77,24.27,603.09,0.0785,8557.12
2024-06-26,NSE:BANKBEES,16,502.38,539.8696,8637.91,24.29,575.54,0.0746,8568.63
2024-06-27,NSE:MAKEINDIA,60,137.2,147.1927,8831.56,24.49,575.07,0.0728,8580.13
2024-06-28,NSE:TNIDETF,100,79.91,85.5144,8551.44,24.2,536.24,0.0701,8590.85
2024-07-01,NSE:LOWVOLIETF,410,19.444,20.8092,8531.77,24.18,535.55,0.0702,8601.57
2024-07-02,NSE:ICICIB22,77,104.26,111.6982,8600.76,24.25,548.49,0.0713,8612.53
2024-07-03,NSE:HDFCSENSEX,101,82.41,88.5614,8944.7,24.61,596.68,0.0746,8624.47
